gene	mean	median	longest_isoform	merged
CHRNA10	1945	1945	1945	1945
NUP98	5936	6764	6986	7759
PGAP2	1856	1861	2161	3548
RHOG	1411	1411	1504	1594
LOC102724597	461	461	461	461
STIM1	4156	4075	4356	4393
MIR4687	41	22	80	80
LOC101927733	216	216	216	216
LOC102724606	117	117	117	117
RRM1	3191	3191	3191	3191
LOC100506082	448	448	448	448
OR52B4	1124	1124	1124	1124
TRIM21	1814	1814	1929	1930
OR52K2	1067	1067	1067	1067
OR52K1	1030	1030	1030	1030
OR52M1	954	954	954	954
C11orf40	654	654	654	654
OR52I2	1115	1115	1115	1115
OR52I1	975	975	975	975
TRIM68	3352	3352	3352	3352
OR51D1	1124	1124	1124	1124
OR51E1	3050	3050	3106	3106
OR51E2	2785	2785	2785	2785
OR51F1	939	939	939	939
OR52R1	948	948	948	948
OR51F2	1029	1029	1029	1029
OR51S1	972	972	972	972
OR51T1	1065	1065	1065	1065
OR51A7	939	939	939	939
OR51G2	945	945	945	945
OR51G1	966	966	966	966
OR51A4	942	942	942	942
OR51A2	942	942	942	942
MMP26	991	991	991	991
OR51L1	948	948	948	948
OR52J3	936	936	936	936
OR52E2	978	978	978	978
OR52A5	951	951	951	951
OR52A1	939	939	939	939
OR51V1	966	966	966	966
HBB	626	626	626	626
HBD	774	774	774	774
HBBP1	660	660	660	660
HBG1	584	584	584	584
HBG2	583	583	583	583
HBE1	816	816	816	816
OR51B4	933	933	933	933
OR51B2	1055	1055	1055	1055
OR51B5	1052	1052	1370	1850
OR51B6	939	939	939	939
OR51M1	1058	1058	1058	1058
OR51Q1	1096	1096	1096	1096
OR51I1	1012	1012	1012	1012
OR51I2	1070	1070	1070	1070
OR52D1	1065	1065	1065	1065
UBQLN3	2345	2345	2345	2345
UBQLNL	2334	2334	2334	2334
LOC101927763	3157	3157	3157	3157
OR52H1	963	963	963	963
OR52B6	1008	1008	1008	1008
LOC101927800	565	565	750	849
TRIM6	3111	3085	3430	3511
TRIM6-TRIM34	3481	3481	3481	3481
TRIM34	1863	2313	2317	2506
TRIM5	2478	2456	3659	3659
TRIM22	3085	3085	3091	3091
OR52N4	1186	1248	1274	1282
OR56B1	1091	1091	1091	1091
OR52N5	1034	1034	1034	1034
OR52N1	963	963	963	963
OR52N2	966	966	966	966
OR52E6	942	942	942	942
OR52E8	954	954	954	954
OR52E4	939	939	939	939
OR56A3	948	948	948	948
OR56A5	942	942	942	942
OR52L1	1094	1094	1094	1094
OR56A4	1098	1098	1098	1098
OR56A1	1071	1071	1071	1071
OR56B4	960	960	960	960
OR52B2	972	972	972	972
OR52W1	963	963	963	963
C11orf42	1143	1143	1143	1143
FAM160A2	3349	3408	3492	3621
CNGA4	3146	3270	4033	5722
CCKBR	2318	2318	2453	2453
PRKCDBP	1037	1037	1037	1037
LOC101927825	622	627	721	839
SMPD1	2375	2469	2472	2575
APBB1	2581	2684	3227	4294
HPX	1577	1577	1623	1623
TRIM3	2920	2963	3046	3404
ARFIP2	3648	3606	3846	3846
TIMM10B	2842	2842	2842	2842
DNHD1	9041	9041	14865	15681
RRP8	1751	1751	1751	1751
ILK	1760	1783	2084	2186
TAF10	817	817	817	817
TPP1	3533	3533	3533	3533
DCHS1	10772	10772	10786	10863
MRPL17	2366	2366	2366	2366
GVINP1	8741	8741	8741	8741
OR2AG2	951	951	951	951
OR2AG1	998	998	998	998
OR6A2	1384	1384	1384	1384
OR10A5	954	954	954	954
OR10A2	912	912	912	912
OR10A4	995	995	995	995
OR2D2	927	927	927	927
OR2D3	993	993	993	993
ZNF215	2373	2179	3658	3973
LOC102724711	974	974	974	974
ZNF214	2388	2389	2668	2731
NLRP14	3387	3387	3823	3854
RBMXL2	2215	2215	2215	2215
MIR302E	44	44	72	72
SYT9	2544	1974	3958	4268
LOC101927894	1726	1726	1726	1726
LOC100506258	4508	4508	4508	4508
OLFML1	3040	3040	3176	3425
LOC102723874	711	711	711	711
PPFIBP2	3402	3486	3668	5378
CYB5R2	1412	1416	1668	2437
OVCH2	1893	1893	1894	2058
OR5P2	969	969	969	969
OR5P3	936	936	936	936
OR5E1P	521	521	521	521
RP11-494M8.4	2503	2503	2503	2503
OR10A6	945	945	945	945
OR10A3	945	945	945	945
NLRP10	2020	2020	2020	2020
EIF3F	1256	1256	1256	1256
TUB	5035	6146	6415	6766
RP11-236J17.5	2021	2021	2021	2021
RIC3	3699	3632	5861	7785
LOC101927936	313	313	313	313
LMO1	1178	1163	1420	1899
STK33	2220	2281	2764	3213
TRIM66	10049	9888	10506	10758
RPL27A	4879	4879	4879	4879
SNORA3	130	130	130	130
SNORA45	131	131	131	131
ST5	3948	4344	4545	6102
LOC102724784	707	657	878	936
AKIP1	1393	1308	1946	2909
C11orf16	1925	1925	1925	1925
ASCL3	650	650	650	650
TMEM9B	1997	2084	2176	2298
TMEM9B-AS1	1053	1053	1053	1053
NRIP3	3809	3809	3809	3809
SCUBE2	4325	4536	4703	4922
MIR5691	45	45	68	68
KRT8P41	1828	1828	1828	1828
DENND5A	4903	4933	5036	5036
TRNAL36	74	74	74	74
TMEM41B	2159	1644	3973	4140
IPO7	6192	6192	6192	6192
SNORA23	189	189	189	189
LOC644656	1143	1143	1143	1143
ZNF143	2892	2920	2973	3020
WEE1	2803	2811	3359	4323
SWAP70	4757	4749	4848	5270
LOC101927955	1450	1450	1450	1450
RP11-540A21.2	2311	2311	2311	2311
SBF2-AS1	2708	2708	2708	2708
SBF2	7393	7435	7439	7535
RP11-1H15.2	653	653	653	653
ADM	1449	1449	1449	1449
CAND1.11	1019	1019	1019	1019
AMPD3	4294	4334	4473	5659
MTRNR2L8	1290	1290	1290	1290
MIR4485	38	38	57	57
RNF141	4084	4084	4084	4084
MRVI1-AS1	746	730	900	900
LYVE1	2500	2500	2500	2500
MRVI1	6107	6095	6366	6667
CTR9	4309	4309	4309	4309
EIF4G2	3912	3911	4028	4359
SNORD97	142	142	142	142
RP11-685M7.3	2926	2926	2926	2926
ZBED5	2725	2725	2741	2741
ZBED5-AS1	1113	1113	1113	1113
GALNT18	3279	2515	4968	5970
CSNK2A3	1416	1416	1416	1416
MIR4299	45	45	72	72
MIR8070	55	55	88	88
LOC102724878	179	179	179	179
USP47	7876	7870	7981	8041
DKK3	2103	2578	2760	3425
LOC102724888	58	58	58	58
MICAL2	4532	4251	6732	7760
MIR6124	52	52	85	85
MICALCL	4448	4448	5853	6043
PARVA	6243	6243	8719	9013
LOC102723893	777	777	777	777
TEAD1	9416	9416	9416	9416
LINC00958	1559	1559	1559	1559
RASSF10	2684	2684	2684	2684
ARNTL	2795	2803	2855	2929
BTBD10	2133	2263	2541	3718
LOC101928110	145	145	145	145
PTH	814	814	814	814
FAR1	5275	5275	5275	5275
LOC101928132	684	684	684	684
SPON1	5138	5138	5138	5138
RRAS2	2188	2183	2346	2752
COPB1	3429	3429	3490	3527
PSMA1	1217	1254	1471	2057
PDE3B	4679	5230	6091	6191
CYP2R1	1778	1766	2166	2939
CALCA	857	857	940	1461
CALCB	1546	1546	2062	2611
INSC	2871	2878	2954	3267
LOC102724957	291	291	361	383
SOX6	8930	8938	8979	9363
MIR6073	54	54	89	89
LOC102723310	346	346	351	371
C11orf58	3980	3980	3980	3980
PLEKHA7	4624	4176	5730	7283
OR7E14P	1159	1159	1159	1159
RPS13	529	529	529	529
SNORD14A	92	92	92	92
SNORD14B	91	91	91	91
PIK3C2A	8189	8427	8470	8548
NUCB2	4663	5476	5790	6220
NCR3LG1	4489	4489	6382	6412
KCNJ11	3024	2905	3412	3876
ABCC8	4985	4924	5110	5119
USH1C	2380	2208	3246	3538
OTOG	8778	8778	8778	8778
LOC102723330	586	586	586	586
MYOD1	1806	1806	1806	1806
KCNC1	4962	4962	6791	8366
SERGEF	1538	1566	1651	1651
TPH1	1815	1815	1815	1815
SAAL1	1531	1531	1531	1531
SAA3P	642	642	642	642
MRGPRX3	1639	1639	1639	1639
MRGPRX4	1444	1444	1444	1444
LOC494141	1900	1884	2079	2778
SAA2-SAA4	850	850	850	850
SAA4	665	665	665	665
SAA2	1318	1318	2043	2331
SAA1	600	592	678	678
HPS5	4665	4705	4880	4910
GTF2H1	3195	3308	3515	3576
MIR3159	48	48	74	74
LDHA	2110	2087	2305	2553
LDHC	1199	1199	1284	1286
LDHAL6A	1733	1586	2583	2583
TSG101	1475	1548	1563	1712
UEVLD	2252	2258	3733	4662
SPTY2D1-AS1	1437	1437	1437	1437
SPTY2D1	5734	5734	5734	5734
TMEM86A	3582	3582	3582	3582
IGSF22	4134	4134	4334	4334
PTPN5	3174	3064	3873	4014
MRGPRX1	1190	1190	1190	1190
MRGPRX2	2036	2036	2036	2036
ZDHHC13	2374	2401	2434	2434
CSRP3	1410	1410	1464	1479
E2F8	3570	3522	3721	3970
NAV2	9713	10636	11171	12279
NAV2-AS5	3307	3307	3307	3307
NAV2-AS4	1369	1369	1369	1369
MIR4486	40	40	63	63
LOC100126784	3739	3739	3739	3739
MIR4694	41	22	80	80
DBX1	1032	1032	1032	1032
HTATIP2	1343	1406	1688	2234
PRMT3	2555	2547	2733	2797
SLC6A5	2696	2696	2863	2863
NELL1	3213	3199	3354	3354
LOC102723370	173	173	173	173
ANO5	6608	6659	6814	6926
SLC17A6	3925	3925	3925	3925
LOC102723378	425	425	425	425
FANCF	3309	3309	3309	3309
GAS2	2144	2175	2233	2538
SVIP	1389	1389	1389	1389
CCDC179	800	800	800	800
MIR8054	53	53	86	86
LUZP2	4410	5171	5297	6345
ANO3	5936	5936	5936	5936
MUC15	3314	3304	3392	3392
SLC5A12	4027	4156	6253	7182
FIBIN	3007	3007	3007	3007
BBOX1	1775	1820	2128	2175
CCDC34	1801	1801	2120	2943
LGR4	5247	5247	5247	5247
LOC101928289	277	277	277	277
LIN7C	4852	4852	4852	4852
BDNF-AS	1710	1478	2322	3051
MIR8087	50	50	78	78
LINC00678	962	962	962	962
BDNF	4082	4030	4757	7731
KIF18A	3463	3463	3463	3463
MIR610	58	58	96	96
METTL15	2270	1427	4416	5397
MIR8068	45	45	68	68
KCNA4	4179	4179	4179	4179
FSHB	1921	1921	1936	1936
ARL14EP	1282	1282	1770	2190
LOC102723403	326	326	326	326
MPPED2	2573	2390	5693	8602
LOC101928316	216	216	257	257
LOC101928338	339	339	339	339
DCDC5	4759	4759	4759	4759
DCDC1	1742	1742	1742	1742
DNAJC24	3000	3000	3000	3000
IMMP1L	793	731	1239	1734
ELP4	2468	2403	2760	2763
PAX6	6630	6854	10838	12959
DKFZp686K1684	1656	1656	1656	1656
LOC100506675	737	734	815	952
LOC101928385	231	231	231	231
RCN1	2516	2516	2516	2516
WT1	2782	2967	3027	3315
WT1-AS	2354	2354	2354	2354
EIF3M	1338	1338	1338	1338
CCDC73	4032	4032	4032	4032
PRRG4	3290	3249	5710	5710
QSER1	7129	7492	9361	9762
DEPDC7	1874	1874	1994	2159
TCP11L1	3671	2977	5646	7307
LINC00294	3305	3305	3305	3305
CSTF3	1606	1487	2823	3811
CSTF3-AS1	2062	2062	2062	2062
HIPK3	7395	7431	7673	8116
KIAA1549L	9649	8665	11622	11640
C11orf91	903	903	903	903
CD59	7678	7671	7785	8080
FBXO3	2148	2383	2408	2795
RP11-646J21.5	461	461	463	463
LMO2	1821	1748	2294	2833
LOC101929918	720	720	769	787
CAPRIN1	4557	4557	5562	6861
NAT10	4696	4041	6222	6254
ABTB2	4903	4903	4903	4903
LOC102723539	955	955	955	955
CAT	2300	2300	2300	2300
ELF5	2255	2268	2451	2575
EHF	5371	5382	5452	5728
LOC102723568	358	358	358	358
APIP	1278	1278	1278	1278
PDHX	2651	2659	2988	2988
MIR1343	42	22	84	84
RP4-607I7.1	773	773	773	773
CD44	4763	4985	5732	7045
SLC1A2	11622	11563	12006	12620
PAMR1	3065	3133	3189	3698
FJX1	2687	2687	2687	2687
TRIM44	5110	5110	5883	6123
LDLRAD3	2969	2969	2969	2969
MIR3973	65	65	107	107
LOC101928510	4136	4136	4136	4136
COMMD9	2911	2911	2974	2974
PRR5L	3712	3761	3964	4214
TRAF6	7974	7974	8021	8021
RAG1	6607	6607	6632	6748
RAG2	2625	2626	2820	2820
C11orf74	904	940	1063	1653
RP11-64I17.1	509	509	509	509
LOC101928563	446	442	480	525
LRRC4C	2905	2934	3127	3733
LOC102723644	190	190	190	190
LOC101928591	1653	1653	1653	1653
LOC100507205	479	479	479	479
HNRNPKP3	1882	1882	1882	1882
API5	3766	3765	4393	6568
TTC17	4322	4451	4694	5487
LOC101928624	807	807	807	807
MIR670HG	766	695	936	1036
MIR670	46	21	98	98
LOC101928704	673	673	673	673
MIR129-2	44	22	90	90
HSD17B12	2545	2545	2545	2545
ALKBH3	1569	1569	1569	1569
SEC14L1P1	2586	2586	2586	2586
ALKBH3-AS1	1927	1927	1927	1927
C11orf96	1328	1328	1328	1328
ACCSL	1813	1813	1820	1867
ACCS	1889	1877	2173	2657
EXT2	3584	3634	3664	3852
ALX4	4637	4637	5466	5485
CD82	1942	1955	2219	2418
TSPAN18	4366	4378	4475	4676
TP53I11	3170	3518	3759	6190
AC068858.1	1239	1239	1239	1239
PRDM11	4856	1965	10744	11334
LOC101060179	2269	2269	2269	2269
SYT13	5148	5157	5375	5440
RP11-430H10.1	658	658	896	896
FLJ41423	2591	2591	2591	2591
CHST1	2643	2291	3940	4001
MIR7154	38	23	73	73
LOC100507384	639	639	639	639
DKFZp779M0652	649	649	649	649
SLC35C1	3273	3214	3488	3934
CRY2	4134	4134	4204	4368
MAPK8IP1	3188	3188	3205	3601
C11orf94	369	369	369	369
PEX16	1840	1840	1908	1908
GYLTL1B	2288	2476	2554	2797
PHF21A	6614	7005	7316	7988
RP11-702F3.3	934	934	934	934
LOC101928919	255	255	255	255
CREB3L1	2212	2212	2710	2942
DGKZ	4052	3666	5883	7401
MIR4688	52	52	83	83
MDK	948	951	1176	1683
CHRM4	1468	1468	1468	1468
AMBRA1	5092	5113	5306	5816
MIR3160-1	43	22	85	85
MIR3160-2	41	22	81	81
HARBI1	1557	1519	1783	1921
ATG13	5074	4704	5968	6292
ARHGAP1	3446	3446	3446	3446
ZNF408	2354	2354	2497	2539
F2	1844	1844	2010	2011
CKAP5	6624	6624	6714	6714
MIR5582	37	22	68	68
SNORD67	111	111	111	111
LRP4-AS1	1540	1540	1540	1540
LRP4	6531	5685	8227	8289
C11orf49	1630	1670	1995	2529
ARFGAP2	3311	3455	3514	3517
PACSIN3	1939	1898	2027	2138
MIR6745	74	74	127	127
DDB2	1668	1745	1928	2058
ACP2	1334	856	2203	2424
NR1H3	1654	1698	1931	2588
MADD	5800	5915	6757	8441
MYBPC3	4058	4058	4217	4228
SPI1	1406	1406	1408	1408
MIR4487	46	46	73	73
SLC39A13	2149	2206	2638	2930
PSMC3	1580	1580	1580	1580
RAPSN	1558	1533	1671	1671
CELF1	6590	7549	8087	9728
PTPMT1	2589	2589	2631	2740
KBTBD4	2437	2402	2547	2735
NDUFS3	959	959	959	959
FAM180B	1403	1403	1403	1403
C1QTNF4	1414	1414	1414	1414
MTCH2	2559	2558	2628	2628
AGBL2	3286	3464	3891	4068
FNBP4	3296	3605	4151	7048
NUP160	5077	5077	5383	5414
PTPRJ	6167	7476	7849	9136
MIR3161	50	50	77	77
OR4B1	930	930	930	930
OR4X2	912	912	912	912
OR4X1	918	918	918	918
OR4S1	930	930	930	930
OR4C3	990	990	990	990
OR4A47	997	997	1065	1065
TRIM49B	1359	1359	1359	1359
TRIM64C	1353	1353	1353	1353
FOLH1	2532	2588	2732	2736
LOC440040	2183	2183	2183	2183
OR4C13	1029	1029	1029	1029
OR4C12	1063	1063	1063	1063
OR4C45	921	921	921	921
LOC441601	1015	1015	1015	1015
LOC646813	608	608	608	608
OR4C46	930	930	930	930
OR4A5	1071	1071	1071	1071
TRIM48	1445	1445	1445	1445
TRIM51HP	1007	1007	1007	1007
OR4A16	987	987	987	987
OR4A15	1035	1035	1035	1035
OR4C15	1113	1113	1113	1113
OR4C16	933	933	933	933
OR4C11	1045	1045	1045	1045
OR4P4	939	939	939	939
OR4S2	936	936	936	936
OR4C6	930	930	930	930
OR5D13	945	945	945	945
OR5D14	945	945	945	945
OR5L1	936	936	936	936
OR5D18	942	942	942	942
OR5L2	936	936	936	936
OR5D16	987	987	987	987
TRIM51	1629	1629	1629	1629
OR5W2	933	933	933	933
OR5I1	945	945	945	945
OR10AG1	906	906	906	906
OR7E5P	1833	1833	1833	1833
OR5F1	945	945	945	945
OR5AS1	975	975	975	975
OR8I2	933	933	933	933
OR8H2	939	939	939	939
OR8H3	939	939	939	939
OR8J3	948	948	948	948
OR8K5	924	924	924	924
OR5J2	939	939	939	939
OR5T2	1080	1080	1080	1080
OR5T3	1023	1023	1023	1023
OR5T1	981	981	981	981
OR8H1	936	936	936	936
OR8K3	939	939	939	939
OR8K1	960	960	960	960
OR8J1	1074	1074	1074	1074
OR8U1	930	930	930	930
OR5R1	975	975	975	975
OR5M9	933	933	933	933
OR5M3	1051	1051	1051	1051
OR5M8	936	936	936	936
OR5M11	918	918	918	918
OR5M10	948	948	948	948
OR5M1	948	948	948	948
OR5AP2	951	951	951	951
OR5AR1	933	933	933	933
OR9G1	918	918	918	918
OR9G4	984	984	984	984
MIR6128	64	64	109	109
AP000479.1	2841	2841	2901	2901
OR5AK2	930	930	930	930
OR5AK4P	927	927	927	927
LOC101927154	151	151	190	205
LRRC55	5407	5407	5407	5407
APLNR	2910	2910	3877	3877
TNKS1BP1	5305	5811	5881	6215
SSRP1	2821	2821	2823	2828
P2RX3	1457	1457	1457	1457
PRG3	869	869	869	869
PRG2	840	840	857	857
SLC43A3	2681	2679	2761	2936
RTN4RL2	2220	2220	2220	2220
SLC43A1	2418	2409	2534	2901
TIMM10	674	674	674	674
SMTNL1	1682	1682	1716	1721
UBE2L6	1440	1440	1620	1743
SERPING1	1890	1890	1966	1983
MIR130A	44	22	89	89
YPEL4	1722	1722	1722	1722
CLP1	1780	1841	1846	1847
ZDHHC5	4560	4560	4560	4560
MED19	1361	1361	1515	1642
TMX2	1658	1658	1792	1792
TMX2-CTNND1	6251	6251	6251	6251
C11orf31	1294	1294	1294	1294
BTBD18	3016	3016	3048	3225
CTNND1	6009	5999	6350	6350
OR9Q1	2459	2459	2459	2459
OR6Q1	954	954	954	954
OR9I1	945	945	945	945
OR9Q2	1085	1085	1085	1085
OR1S2	978	978	978	978
OR1S1	978	978	978	978
OR10Q1	1037	1037	1037	1037
OR10W1	1469	1469	1469	1469
OR5B17	945	945	945	945
OR5B3	945	945	945	945
OR5B2	1049	1049	1049	1049
OR5B12	1054	1054	1054	1054
OR5B21	930	930	930	930
LPXN	1917	1889	1985	2143
ZFP91	5723	5723	5725	5725
ZFP91-CNTF	3544	3544	3544	3544
CNTF	1894	1894	1894	1894
GLYAT	1600	1600	2055	2476
GLYATL2	1380	1380	1380	1380
LOC100287413	1590	1590	1590	1590
GLYATL1	2217	2192	2364	2438
RP11-142C4.6	2603	2603	2603	2603
FAM111B	3434	3394	3561	3561
AP001258.4	2247	2247	2247	2247
FAM111A	3659	3598	3785	3942
DTX4	5364	5364	5795	5813
MPEG1	4512	4512	4512	4512
OR5AN1	936	936	936	936
OR5A2	975	975	975	975
OR5A1	948	948	948	948
OR4D6	945	945	945	945
OR4D10	936	936	936	936
OR4D11	936	936	936	936
OR4D9	945	945	945	945
LOC102723575	559	559	559	559
TRNAV11	73	73	73	73
TRNAV23	73	73	73	73
TRNAR14	73	73	73	73
TRNAL23	83	83	83	83
TRNAK23	73	73	73	73
TRNAF11	73	73	73	73
TRNAK3	73	73	73	73
TRNAF1	73	73	73	73
OSBP	5083	5083	5083	5083
MIR3162	42	23	82	82
LOC101927226	477	477	504	504
PATL1	3909	4033	4130	4260
OR10V1	930	930	930	930
OR10V2P	770	770	770	770
STX3	3333	2861	6475	7701
MRPL16	1182	1182	1182	1182
GIF	1568	1568	1623	1627
TCN1	1567	1567	1567	1567
OOSP1	780	780	780	780
OOSP2	1633	1633	1633	1633
MS4A3	1506	1517	1655	1655
MS4A2	3103	3513	3648	4049
MS4A6A	1509	1512	2030	2856
MIR6503	43	23	86	86
MS4A4E	827	827	827	827
MS4A4A	1644	1649	1795	1795
MS4A6E	660	660	660	660
MS4A7	2917	2917	3009	3009
MS4A14	3437	3437	3573	3573
MS4A5	722	722	722	722
MS4A1	3462	3462	3594	3594
MS4A12	1116	1153	1167	1213
MS4A13	829	808	928	928
LINC00301	852	852	852	852
MS4A8	1353	1353	1353	1353
MS4A18	752	752	752	752
MS4A15	1839	1767	2246	2282
MS4A10	2296	2296	2296	2296
CCDC86	2015	2015	2015	2015
PTGDR2	2910	2910	2910	2910
ZP1	1972	1972	1972	1972
PRPF19	2341	2341	2341	2341
TMEM109	2388	2388	2388	2388
TMEM132A	3518	3518	3520	3520
SLC15A3	2031	2031	2116	2116
CD6	3151	3165	3291	3291
CD5	3158	3158	3158	3158
VPS37C	2678	2669	2729	2807
PGA3	1396	1396	1396	1396
PGA4	1395	1395	1395	1395
PGA5	1398	1398	1398	1398
VWCE	3248	3381	3536	3546
DDB1	4356	4356	4356	4356
DAK	3066	2783	4241	6093
CYB561A3	2291	2389	3211	3811
TMEM138	1269	1107	1844	2603
TMEM216	1245	1292	1306	1431
CPSF7	3301	3610	3688	4627
SDHAF2	1219	1219	1219	1219
PPP1R32	1509	1509	1539	1539
MIR4488	40	40	62	62
LRRC10B	2219	2219	2219	2219
SYT7	6029	6397	7065	8806
RP11-855O10.2	2345	2345	2345	2345
RPLP0P2	3525	3525	3525	3525
DAGLA	5752	5752	5758	5819
MYRF	5832	5847	5930	5984
DKFZP434K028	936	936	936	936
LOC100129473	1353	1353	1353	1353
TMEM258	411	411	411	411
MIR611	45	45	67	67
FEN1	2296	2296	2296	2296
FADS1	4420	4420	4420	4420
MIR1908	40	21	80	80
FADS2	3153	3086	3358	3852
FADS3	1793	1793	1793	1793
MIR6746	35	22	63	63
RAB3IL1	2375	2407	2520	2756
BEST1	2551	2413	3703	4589
FTH1	1229	1229	1229	1229
LOC399900	1685	1685	1685	1685
LOC102723745	73	73	73	73
LOC100507521	785	785	785	785
INCENP	3854	4134	4146	4158
SCGB1D1	429	429	429	429
SCGB2A1	521	521	521	521
SCGB1D2	489	489	541	541
SCGB2A2	889	889	1269	1482
SCGB1D4	434	434	434	434
ASRGL1	1968	2118	2419	2441
LOC102723765	342	342	354	379
SCGB1A1	452	452	452	452
AHNAK	15324	17887	18815	19381
LOC101927617	256	256	256	256
EEF1G	1538	1538	1538	1538
MIR6747	35	24	61	61
TUT1	2826	2826	2826	2826
MTA2	3069	3069	3069	3069
EML3	3147	3127	3255	3500
ROM1	1878	1878	1878	1878
B3GAT3	1641	1641	1641	1641
GANAB	3818	3842	4017	4017
INTS5	3285	3285	3285	3285
LOC102288414	730	730	809	809
C11orf48	1320	1320	1320	1320
METTL12	1904	1904	2426	2426
SNORA57	149	149	149	149
C11orf83	1950	1950	1950	1950
UBXN1	1156	1134	1353	1353
LRRN4CL	2585	2585	2585	2585
HNRNPUL2-BSCL2	4014	4014	4014	4014
BSCL2	1820	2006	2102	2598
GNG3	894	869	951	992
HNRNPUL2	5147	5147	5147	5147
TTC9C	1240	1083	1847	2284
ZBTB3	2974	2974	2974	2974
POLR2G	837	837	837	837
TAF6L	2048	2048	2116	2116
TMEM179B	1223	1223	1403	1636
MIR6748	38	22	71	71
TMEM223	937	937	937	937
NXF1	2570	2298	4147	4252
MIR6514	38	23	70	70
STX5	1853	1853	1872	1872
WDR74	1680	1680	1994	1994
RNU2-2P	138	138	138	138
SNHG1	1118	1118	1118	1118
SNORD22	126	126	126	126
SNORD31	68	68	68	68
SNORD30	70	70	70	70
SNORD29	65	65	65	65
SNORD28	75	75	75	75
SNORD27	72	72	72	72
SNORD26	75	75	75	75
SNORD25	67	67	67	67
SLC3A2	2089	2155	2344	2902
CHRM1	2823	2823	2823	2823
SLC22A6	2136	2136	2222	2222
SLC22A8	2021	2037	2184	2184
SLC22A24	2101	2101	2101	2101
SLC22A25	2156	2121	2924	4917
SLC22A10	1744	1626	2574	2632
SLC22A9	2554	2554	2782	3106
HRASLS5	3102	3098	3150	3190
LGALS12	1758	1736	1823	2302
RARRES3	765	765	765	765
HRASLS2	742	742	742	742
PLA2G16	1168	1111	1395	1714
ATL3	4485	4669	7151	7671
RTN3	3274	2588	4976	4976
C11orf95	5582	5582	5582	5582
C11orf84	1679	1542	2096	2487
MARK2	4589	4537	4729	5179
RCOR2	2532	2532	2604	2695
NAA40	3648	3701	3843	4320
RNU6-45P	107	107	107	107
COX8A	507	507	507	507
OTUB1	2398	2398	2502	2502
MACROD1	1032	1044	1257	2457
LOC101927673	1640	1640	1640	1640
LOC102723812	47	47	50	63
FLRT1	3695	3695	4143	4143
STIP1	2359	2201	2748	2904
FERMT3	2440	2528	2552	2687
TRPT1	906	942	1059	1416
NUDT22	970	989	1110	1170
DNAJC4	1224	1239	1285	1380
VEGFB	1754	1754	1805	1805
FKBP2	656	637	731	1132
PPP1R14B	987	987	987	987
LOC101927696	406	406	406	406
PLCB3	5333	5527	5728	5728
BAD	1097	1097	1224	1224
GPR137	1783	1831	1983	3097
KCNK4	1810	1810	1810	1810
TEX40	744	744	744	744
ESRRA	2289	2283	2315	2492
TRMT112	1329	1305	1394	1394
PRDX5	800	828	905	1031
LOC102723878	259	259	259	259
CCDC88B	4796	4778	4920	4920
MIR7155	31	19	56	56
RPS6KA4	3076	3096	3137	3137
MIR1237	48	21	102	102
LOC102723894	991	991	991	991
LOC101927738	576	576	576	576
LOC100996455	2357	2357	2357	2357
SLC22A11	2512	2512	2512	2512
SLC22A12	2771	2887	3211	3455
NRXN2	5163	5419	6623	7660
RASGRP2	2246	2264	3285	4023
PYGM	3484	3484	3616	3616
SF1	2888	2909	3586	4227
MAP4K2	2955	2955	3082	3145
MEN1	2939	2886	3172	3646
CDC42BPG	4940	4940	4940	4940
EHD1	3618	3586	3966	4005
MIR192	51	22	110	110
MIR194-2	43	22	85	85
ATG2A	6347	6337	6373	6379
MIR6750	40	24	75	75
MIR6749	37	22	69	69
PPP2R5B	2886	2773	3135	3556
GPHA2	747	747	747	747
C11orf85	1337	1329	2047	2172
BATF2	2045	2045	2140	2222
ARL2-SNX15	2463	2463	2463	2463
ARL2	939	939	980	980
MIR6879	36	22	66	66
SNX15	1810	1810	1939	1939
SAC3D1	1474	1478	1567	1707
NAALADL1	2687	2687	2687	2687
CDCA5	1790	1575	2576	3348
ZFPL1	1386	1386	1386	1386
TMEM262	496	496	512	512
VPS51	2759	2759	2760	2760
TM7SF2	1555	1546	1601	1601
ZNHIT2	1296	1296	1296	1296
FAU	575	575	575	575
MRPL49	2043	2078	2101	2162
SYVN1	3092	3092	3136	3173
MIR6751	35	23	63	63
SPDYC	882	882	882	882
LOC728975	1315	1315	1315	1315
CAPN1	3015	3031	3062	3397
SLC22A20	1860	1778	2377	3243
POLA2	2477	2477	2477	2477
CDC42EP2	2023	2023	2023	2023
DPF2	2508	2508	2530	2572
TIGD3	1968	1968	1968	1968
SLC25A45	1671	1319	3091	4002
FRMD8	3698	3698	3752	3752
NEAT1	3735	3735	3735	3735
MIR612	62	62	100	100
LOC101927789	855	669	1228	1287
MALAT1	8708	8708	8708	8708
SCYL1	2618	2598	2650	2660
LTBP3	4606	4561	4702	4702
SSSCA1-AS1	1194	1194	1194	1194
SSSCA1	654	654	654	654
FAM89B	1438	1448	1458	1458
EHBP1L1	3879	3589	5215	5535
KCNK7	1426	1421	1563	1563
MAP3K11	3642	3642	3712	3712
PCNXL3	6929	7627	7930	8004
MIR4690	34	22	60	60
SIPA1	3349	3538	3630	3905
MIR4489	41	41	62	62
RELA	2446	2470	2578	2578
KAT5	2216	2233	2332	2365
